LOAN_NBR|BORROWER_ID|COBORROWER_ID|STATE|COUNTY|LOAN_AMT|UPB|MONTHLYPMT|INTEREST_AMT|PMT_METHOD|DUE_DT|TXN_DT|DT_SRCE_BEG|DT_SRCE_END|ACTIVE
0000000025|0000000025|0000000025|WA|West|533167762|307192757|48091|3736|Check|2022-09-30|2018-07-30 13:50:25|2018-07-19 03:05:11|9999-12-31 00:00:00|A
0000000026|0000000026|0000000026|MO|South|599023389|541518117|71231|30629|Wire|2018-05-31|2018-07-25 15:57:15|2018-07-09 10:15:23|9999-12-31 00:00:00|A
0000000027|0000000027|0000000027|WV|South|852476520|595085453|66975|19914|ACH|2026-10-31|2018-07-26 10:53:14|2018-07-18 11:11:19|9999-12-31 00:00:00|A
0000000028|0000000028|0000000028|KY|North|474621511|365091492|52154|61123|ACH|2025-10-31|2018-07-08 04:08:20|2018-07-07 08:57:38|9999-12-31 00:00:00|A
0000000029|0000000029|0000000029|NJ|South|831350403|749096978|64651|43545|Check|2023-05-31|2018-07-07 05:11:47|2018-07-06 03:45:46|9999-12-31 00:00:00|A
0000000030|0000000030|0000000030|WV|South|589612400|44063114|27475|13341|Check|2021-08-31|2018-07-29 09:41:58|2018-07-12 08:29:30|9999-12-31 00:00:00|A
0000000031|0000000031|0000000031|ID|East|846594388|595704649|26992|48388|Internal Transfer|2019-04-30|2018-07-27 03:52:47|2018-07-20 15:20:47|9999-12-31 00:00:00|A
0000000032|0000000032|0000000032|VT|Central|142722381|135403521|36411|93752|Check|2021-11-30|2018-07-26 16:11:31|2018-07-13 22:40:29|9999-12-31 00:00:00|A
0000000033|0000000033|0000000033|IL|Lake|776032915|621064524|79371|6028|Check|2026-07-31|2018-07-06 02:43:59|2018-07-03 13:33:15|9999-12-31 00:00:00|A
0000000034|0000000034|0000000034|DC|South|510596307|134031084|30905|76454|Internal Transfer|2024-10-31|2018-07-12 19:15:36|2018-07-09 21:05:41|9999-12-31 00:00:00|A
0000000035|0000000035|0000000035|DC|West|223693709|164260273|28635|58044|Check|2018-06-30|2018-07-29 10:03:09|2018-07-06 08:19:40|9999-12-31 00:00:00|A
0000000036|0000000036|0000000036|NV|North|261139956|159971025|21605|12310|Wire|2020-01-31|2018-07-02 21:06:07|2018-07-02 21:05:46|9999-12-31 00:00:00|A
0000000037|0000000037|0000000037|TN|North|110542736|109725678|62638|77853|ACH|2025-02-28|2018-07-29 20:39:40|2018-07-05 22:14:08|9999-12-31 00:00:00|A
0000000038|0000000038|0000000038|RI|West|503012067|193014232|61343|90790|Wire|2024-10-31|2018-07-30 17:33:01|2018-07-22 15:28:18|9999-12-31 00:00:00|A
0000000039|0000000039|0000000039|ID|West|73384059|25933341|45427|66540|Internal Transfer|2023-01-31|2018-07-19 06:52:17|2018-07-11 02:43:22|9999-12-31 00:00:00|A
0000000040|0000000040|0000000040|MS|North|315789234|135612486|90718|44585|Check|2023-11-30|2018-07-02 04:38:47|2018-07-02 03:10:54|9999-12-31 00:00:00|A
0000000041|0000000041|0000000041|MI|Kent|560007513|499469915|96192|24559|Check|2023-01-31|2018-07-02 17:17:11|2018-07-02 04:25:57|9999-12-31 00:00:00|A
0000000042|0000000042|0000000042|WY|South|31761693|5940576|52046|12418|Internal Transfer|2025-08-31|2018-07-07 20:39:21|2018-07-06 05:22:45|9999-12-31 00:00:00|A
0000000043|0000000043|0000000043|ME|South|759607167|537153294|20138|23251|Internal Transfer|2022-06-30|2018-07-26 18:21:54|2018-07-09 21:34:28|9999-12-31 00:00:00|A
0000000044|0000000044|0000000044|MA|Central|774052422|628055118|59448|82656|Check|2024-06-30|2018-07-16 18:40:12|2018-07-05 18:17:04|9999-12-31 00:00:00|A
0000000045|0000000045|0000000045|ND|South|581195703|70600893|16074|41385|Internal Transfer|2018-04-30|2018-07-11 08:02:25|2018-07-02 22:53:41|9999-12-31 00:00:00|A
0000000046|0000000046|0000000046|SD|North|949879583|108796233|54063|79851|Check|2024-02-29|2018-07-18 13:17:26|2018-07-11 21:09:44|9999-12-31 00:00:00|A
0000000047|0000000047|0000000047|MN|North|408364705|269918082|78285|66898|Wire|2024-09-30|2018-07-13 15:29:27|2018-07-12 18:26:57|9999-12-31 00:00:00|A
0000000048|0000000048|0000000048|IA|Central|241942712|127514820|16511|56581|Internal Transfer|2019-07-31|2018-07-18 08:38:38|2018-07-14 15:52:26|9999-12-31 00:00:00|A
0000000049|0000000049|0000000049|VT|North|569116292|488174133|33120|7550|Check|2024-09-30|2018-07-12 23:09:42|2018-07-07 15:02:20|9999-12-31 00:00:00|A
0000000050|0000000050|0000000050|TN|Central|733354875|371916794|66666|43566|Internal Transfer|2024-03-31|2018-07-12 15:35:42|2018-07-12 10:32:26|9999-12-31 00:00:00|A
0000000051|0000000051|0000000051|CA|San Diego|465619075|185937964|33990|59738|Check|2019-03-31|2018-07-21 05:03:29|2018-07-11 10:09:18|9999-12-31 00:00:00|A
0000000052|0000000052|0000000052|FL|Palm Beach|850178116|403157846|55650|69884|Internal Transfer|2024-07-31|2018-07-26 23:15:00|2018-07-17 22:02:59|9999-12-31 00:00:00|A
0000000053|0000000053|0000000053|LA|West|513359696|336315442|9934|51611|Check|2025-02-28|2018-07-19 23:07:39|2018-07-01 14:37:24|9999-12-31 00:00:00|A
0000000054|0000000054|0000000054|OH|Summit|602484572|292521403|24191|14067|Internal Transfer|2020-09-30|2018-07-31 12:16:08|2018-07-05 13:41:43|9999-12-31 00:00:00|A
0000000055|0000000055|0000000055|CA|San Diego|896263127|713996417|32023|68922|Internal Transfer|2024-03-31|2018-07-22 14:55:56|2018-07-20 22:55:21|9999-12-31 00:00:00|A
0000000056|0000000056|0000000056|RI|East|964530383|652251856|38521|84369|Check|2026-11-30|2018-07-31 19:13:32|2018-07-17 21:12:21|9999-12-31 00:00:00|A
0000000057|0000000057|0000000057|NE|East|480068000|386883087|51049|79445|ACH|2024-03-31|2018-07-31 20:25:38|2018-07-20 03:05:50|9999-12-31 00:00:00|A
0000000058|0000000058|0000000058|DE|Central|186409415|112878484|13559|70582|Wire|2023-02-28|2018-07-18 19:04:28|2018-07-11 16:12:04|9999-12-31 00:00:00|A
0000000059|0000000059|0000000059|AL|Central|622638242|579958026|44242|2388|Wire|2026-08-31|2018-07-11 13:36:51|2018-07-09 21:28:34|9999-12-31 00:00:00|A
0000000060|0000000060|0000000060|ME|East|938868662|58346298|65894|68929|ACH|2022-01-31|2018-07-04 21:09:49|2018-07-04 00:38:51|9999-12-31 00:00:00|A
0000000061|0000000061|0000000061|AL|South|173003600|151027036|50380|31779|Internal Transfer|2021-01-31|2018-07-11 04:47:02|2018-07-07 21:43:22|9999-12-31 00:00:00|A
0000000062|0000000062|0000000062|MT|Central|419440972|143133439|81726|68468|Wire|2019-05-31|2018-07-16 11:27:38|2018-07-09 07:06:33|9999-12-31 00:00:00|A
0000000063|0000000063|0000000063|AK|East|19557047|16664360|52152|30625|Check|2026-12-31|2018-07-17 00:53:57|2018-07-06 02:34:00|9999-12-31 00:00:00|A
0000000064|0000000064|0000000064|AL|East|171336501|7800494|9000|8384|ACH|2022-03-31|2018-07-04 13:44:21|2018-07-02 22:31:15|9999-12-31 00:00:00|A
0000000065|0000000065|0000000065|MI|Genesee|622516247|63622429|58730|36319|Wire|2021-04-30|2018-07-09 20:38:18|2018-07-05 17:53:26|9999-12-31 00:00:00|A
0000000066|0000000066|0000000066|OK|Central|802811483|209784574|48157|97188|Wire|2024-03-31|2018-07-03 18:01:58|2018-07-01 18:58:15|9999-12-31 00:00:00|A
0000000067|0000000067|0000000067|VT|Central|471612717|52525185|73486|57614|Check|2022-11-30|2018-07-02 10:58:40|2018-07-02 05:16:14|9999-12-31 00:00:00|A
0000000068|0000000068|0000000068|CA|Santa Clara|467432115|63938980|82979|48696|Internal Transfer|2021-12-31|2018-07-26 08:49:40|2018-07-06 05:21:02|9999-12-31 00:00:00|A
0000000069|0000000069|0000000069|OR|South|657844859|333622894|18201|22167|Internal Transfer|2022-12-31|2018-07-17 07:41:19|2018-07-06 17:37:52|9999-12-31 00:00:00|A
0000000070|0000000070|0000000070|WA|North|723228785|617109690|13238|80597|ACH|2023-02-28|2018-07-16 12:24:08|2018-07-02 13:04:20|9999-12-31 00:00:00|A
0000000071|0000000071|0000000071|KY|North|797088029|191536966|61221|65469|Internal Transfer|2022-09-30|2018-07-16 10:45:25|2018-07-09 03:15:32|9999-12-31 00:00:00|A
0000000072|0000000072|0000000072|MA|South|230561467|101229599|79534|17667|ACH|2020-10-31|2018-07-20 18:37:37|2018-07-06 13:33:29|9999-12-31 00:00:00|A
0000000073|0000000073|0000000073|RI|West|208254661|199614201|6202|19545|Internal Transfer|2018-05-31|2018-07-24 13:48:22|2018-07-22 12:54:55|9999-12-31 00:00:00|A
0000000074|0000000074|0000000074|ID|West|480242931|132706935|52765|12748|Check|2025-01-31|2018-07-08 06:14:50|2018-07-04 01:26:24|9999-12-31 00:00:00|A
0000000075|0000000075|0000000075|WI|South|1290809|1235710|77294|72568|ACH|2020-02-29|2018-07-31 10:44:02|2018-07-07 15:03:17|9999-12-31 00:00:00|A
0000000076|0000000076|0000000076|SD|West|561689699|129073616|80027|87516|ACH|2019-03-31|2018-07-22 14:23:18|2018-07-10 03:05:47|9999-12-31 00:00:00|A
0000000077|0000000077|0000000077|WV|East|321361492|227814042|52114|55457|Check|2021-01-31|2018-07-11 09:19:55|2018-07-09 16:09:05|9999-12-31 00:00:00|A
0000000078|0000000078|0000000078|MO|Central|793467977|604218860|92873|45720|Internal Transfer|2026-12-31|2018-07-10 20:24:58|2018-07-07 07:04:42|9999-12-31 00:00:00|A
0000000079|0000000079|0000000079|KS|West|700601071|359438568|34854|33471|ACH|2026-09-30|2018-07-08 16:32:34|2018-07-04 22:45:53|9999-12-31 00:00:00|A
0000000080|0000000080|0000000080|VT|South|531216742|296320711|13646|83295|Check|2025-07-31|2018-07-31 13:44:11|2018-07-01 21:00:22|9999-12-31 00:00:00|A
0000000081|0000000081|0000000081|FL|Palm Beach|32880279|5005023|94615|4405|Internal Transfer|2020-11-30|2018-07-05 17:04:52|2018-07-04 07:20:43|9999-12-31 00:00:00|A
0000000082|0000000082|0000000082|MT|North|857482019|198180900|42197|61930|ACH|2019-08-31|2018-07-26 13:15:34|2018-07-11 22:46:23|9999-12-31 00:00:00|A
0000000083|0000000083|0000000083|LA|East|273330219|19419998|26663|94574|Wire|2019-03-31|2018-07-03 21:32:17|2018-07-01 00:18:00|9999-12-31 00:00:00|A
0000000084|0000000084|0000000084|ND|North|388007848|278497947|50318|80808|Wire|2020-06-30|2018-07-26 20:29:10|2018-07-14 17:15:16|9999-12-31 00:00:00|A
0000000085|0000000085|0000000085|NE|South|329058717|25407317|64264|80680|ACH|2019-06-30|2018-07-20 11:32:41|2018-07-19 08:24:09|9999-12-31 00:00:00|A
0000000086|0000000086|0000000086|MT|Central|981406804|810934700|99936|82848|Internal Transfer|2019-04-30|2018-07-10 16:49:59|2018-07-09 09:40:54|9999-12-31 00:00:00|A
0000000087|0000000087|0000000087|OR|South|266520646|130319079|47477|28177|Internal Transfer|2022-07-31|2018-07-13 11:00:07|2018-07-03 06:59:37|9999-12-31 00:00:00|A
0000000088|0000000088|0000000088|OR|South|230224748|38579273|87375|58520|Internal Transfer|2019-08-31|2018-07-25 18:09:04|2018-07-10 05:45:41|9999-12-31 00:00:00|A
0000000089|0000000089|0000000089|IN|Central|179151556|156582664|4369|61106|Check|2021-03-31|2018-07-05 01:48:26|2018-07-04 04:29:54|9999-12-31 00:00:00|A
0000000090|0000000090|0000000090|VT|Central|831175787|480958264|82125|30309|ACH|2025-09-30|2018-07-16 04:58:38|2018-07-11 07:20:43|9999-12-31 00:00:00|A
0000000091|0000000091|0000000091|FL|Orange|340942604|49249947|30936|34221|Check|2025-11-30|2018-07-10 03:02:35|2018-07-04 10:34:02|9999-12-31 00:00:00|A
0000000092|0000000092|0000000092|TN|West|955392738|41719449|44475|60501|Wire|2023-09-30|2018-07-09 12:29:16|2018-07-01 10:05:48|9999-12-31 00:00:00|A
0000000093|0000000093|0000000093|GA|Fulton|136752103|19056952|46991|95593|Wire|2023-11-30|2018-07-30 21:35:57|2018-07-02 21:00:26|9999-12-31 00:00:00|A
0000000094|0000000094|0000000094|KS|Central|388462619|193309656|35837|31721|ACH|2025-02-28|2018-07-07 18:15:11|2018-07-06 19:39:22|9999-12-31 00:00:00|A
0000000095|0000000095|0000000095|HI|Central|960867920|254185493|10040|39190|ACH|2021-04-30|2018-07-15 08:36:43|2018-07-12 02:12:07|9999-12-31 00:00:00|A
0000000096|0000000096|0000000096|MA|South|289439978|256265656|20766|65648|ACH|2018-08-31|2018-07-01 06:55:06|2018-07-01 06:47:52|9999-12-31 00:00:00|A
0000000097|0000000097|0000000097|IA|West|134802596|85864702|62282|727|Check|2018-04-30|2018-07-18 06:37:20|2018-07-15 22:00:02|9999-12-31 00:00:00|A
0000000098|0000000098|0000000098|OR|Central|97738697|25747609|82815|99340|Internal Transfer|2022-02-28|2018-07-26 00:58:58|2018-07-12 00:02:29|9999-12-31 00:00:00|A
0000000099|0000000099|0000000099|OK|South|398919183|117067642|43211|36656|Internal Transfer|2023-01-31|2018-07-20 02:40:42|2018-07-15 07:39:16|9999-12-31 00:00:00|A
0000000100|0000000100|0000000100|LA|East|917337132|443546903|40354|61065|Internal Transfer|2021-01-31|2018-07-15 01:12:59|2018-07-14 11:19:13|9999-12-31 00:00:00|A
0000000101|0000000101|0000000101|NY|New York|927914958|594021003|71349|61504|Check|2020-01-31|2018-07-03 03:35:29|2018-07-02 02:08:07|9999-12-31 00:00:00|A
0000000102|0000000102|0000000102|LA|North|533856126|373770898|93475|80810|ACH|2019-06-30|2018-07-28 21:16:58|2018-07-03 13:17:50|9999-12-31 00:00:00|A
0000000103|0000000103|0000000103|NC|Guilford|30891741|17476717|18687|48101|Internal Transfer|2026-05-31|2018-07-04 16:09:58|2018-07-04 00:34:10|9999-12-31 00:00:00|A
0000000104|0000000104|0000000104|NE|South|563266155|263566211|39039|65877|ACH|2022-01-31|2018-07-31 23:06:54|2018-07-14 12:50:01|9999-12-31 00:00:00|A
0000000105|0000000105|0000000105|OH|Franklin|963985400|400226556|23918|70692|ACH|2024-10-31|2018-07-07 03:28:14|2018-07-05 10:34:28|9999-12-31 00:00:00|A
0000000106|0000000106|0000000106|WV|East|611630940|106650281|3434|14157|Check|2025-04-30|2018-07-14 08:17:33|2018-07-03 11:48:07|9999-12-31 00:00:00|A
0000000107|0000000107|0000000107|DE|East|855478400|501427284|41802|27035|Check|2025-07-31|2018-07-05 15:06:25|2018-07-04 05:00:47|9999-12-31 00:00:00|A
0000000108|0000000108|0000000108|KY|Central|379069347|166915864|43802|76803|Check|2024-12-31|2018-07-14 17:29:14|2018-07-03 08:42:52|9999-12-31 00:00:00|A
0000000109|0000000109|0000000109|MS|Central|546797137|220240590|6253|48585|ACH|2018-10-31|2018-07-17 13:57:13|2018-07-08 13:45:47|9999-12-31 00:00:00|A
0000000110|0000000110|0000000110|UT|Central|987384615|891436004|61735|59317|ACH|2019-04-30|2018-07-17 20:08:53|2018-07-09 20:56:15|9999-12-31 00:00:00|A
0000000111|0000000111|0000000111|NJ|North|846496841|23593859|77288|36905|Check|2019-10-31|2018-07-29 12:17:38|2018-07-25 12:53:40|9999-12-31 00:00:00|A
0000000112|0000000112|0000000112|WA|South|427320259|328141155|21104|8116|Check|2020-10-31|2018-07-29 14:16:33|2018-07-19 09:54:03|9999-12-31 00:00:00|A
0000000113|0000000113|0000000113|ID|South|376168379|9377388|30423|75311|Check|2019-06-30|2018-07-30 02:56:04|2018-07-22 15:56:04|9999-12-31 00:00:00|A
0000000114|0000000114|0000000114|WY|North|610665777|368346845|28185|71552|Check|2025-06-30|2018-07-12 01:49:28|2018-07-04 21:36:25|9999-12-31 00:00:00|A
0000000115|0000000115|0000000115|OK|West|220000080|98180500|81889|98098|ACH|2026-02-28|2018-07-30 21:57:35|2018-07-07 09:55:03|9999-12-31 00:00:00|A
0000000116|0000000116|0000000116|ME|West|557244826|434951539|36206|67932|Wire|2021-04-30|2018-07-09 02:56:27|2018-07-01 04:01:49|9999-12-31 00:00:00|A
0000000117|0000000117|0000000117|WI|East|457251769|285710736|9606|85276|Wire|2018-05-31|2018-07-26 16:35:30|2018-07-26 03:22:32|9999-12-31 00:00:00|A
0000000118|0000000118|0000000118|GA|Fulton|324328266|159514740|16372|52098|ACH|2026-07-31|2018-07-03 12:05:35|2018-07-01 10:24:08|9999-12-31 00:00:00|A
0000000119|0000000119|0000000119|IL|Kane|445277483|67361964|61641|10341|ACH|2018-03-31|2018-07-28 11:46:39|2018-07-13 13:25:42|9999-12-31 00:00:00|A
0000000120|0000000120|0000000120|OR|Central|712436508|27118211|96954|71851|ACH|2025-06-30|2018-07-29 04:14:33|2018-07-04 20:10:10|9999-12-31 00:00:00|A
0000000121|0000000121|0000000121|UT|East|571010702|443651920|68074|71737|ACH|2022-10-31|2018-07-27 10:16:33|2018-07-21 16:57:05|9999-12-31 00:00:00|A
0000000122|0000000122|0000000122|SC|Central|628930947|313932588|48460|10980|ACH|2021-03-31|2018-07-22 11:08:38|2018-07-22 03:03:06|9999-12-31 00:00:00|A
0000000123|0000000123|0000000123|FL|Hillsborough|197759598|154526458|59695|56272|Wire|2023-09-30|2018-07-12 21:07:36|2018-07-11 03:15:13|9999-12-31 00:00:00|A
0000000124|0000000124|0000000124|WA|South|996065389|202645391|92586|47544|ACH|2023-10-31|2018-07-17 10:12:41|2018-07-09 06:52:30|9999-12-31 00:00:00|A
0000000125|0000000125|0000000125|PA|Montgomery|444516021|116787651|81535|85997|Wire|2019-09-30|2018-07-17 16:14:03|2018-07-04 09:23:23|9999-12-31 00:00:00|A
0000000126|0000000126|0000000126|MT|Central|311549442|106758899|16456|23758|Check|2026-09-30|2018-07-25 20:29:59|2018-07-20 19:14:02|9999-12-31 00:00:00|A
0000000127|0000000127|0000000127|LA|East|298405254|136060319|41681|84493|Check|2023-10-31|2018-07-21 08:26:18|2018-07-21 01:27:30|9999-12-31 00:00:00|A
0000000128|0000000128|0000000128|VA|Central|501453581|19330223|36675|26850|Wire|2025-08-31|2018-07-22 23:04:43|2018-07-15 02:50:01|9999-12-31 00:00:00|A
0000000129|0000000129|0000000129|CA|Alameda|253756083|200338796|82112|8891|ACH|2025-02-28|2018-07-17 21:42:57|2018-07-09 10:10:53|9999-12-31 00:00:00|A
0000000130|0000000130|0000000130|TX|Travis|510123209|225936914|51839|66507|ACH|2025-09-30|2018-07-19 23:15:47|2018-07-18 02:02:22|9999-12-31 00:00:00|A
0000000131|0000000131|0000000131|FL|Broward|630947667|474229505|35982|73946|Wire|2023-11-30|2018-07-16 17:15:57|2018-07-07 06:57:41|9999-12-31 00:00:00|A
0000000132|0000000132|0000000132|MS|North|36625954|8579735|81603|37523|ACH|2025-03-31|2018-07-07 07:02:35|2018-07-05 22:51:48|9999-12-31 00:00:00|A
0000000133|0000000133|0000000133|DC|North|282652801|250059115|42079|17113|Internal Transfer|2018-02-28|2018-07-15 11:04:39|2018-07-05 12:21:13|9999-12-31 00:00:00|A
0000000134|0000000134|0000000134|ND|West|347914975|127833598|86480|81895|Internal Transfer|2019-07-31|2018-07-14 21:15:06|2018-07-14 11:26:37|9999-12-31 00:00:00|A
0000000135|0000000135|0000000135|MT|Central|842993428|775943987|75387|76549|ACH|2025-05-31|2018-07-30 17:36:49|2018-07-11 11:32:16|9999-12-31 00:00:00|A
0000000136|0000000136|0000000136|WA|Central|532410072|492485728|23270|76605|Check|2023-03-31|2018-07-17 07:08:11|2018-07-08 13:06:09|9999-12-31 00:00:00|A
0000000137|0000000137|0000000137|SD|West|631764654|623480033|7273|1572|ACH|2026-07-31|2018-07-03 19:34:44|2018-07-01 20:38:35|9999-12-31 00:00:00|A
0000000138|0000000138|0000000138|CO|South|270518396|22907566|90241|69438|Check|2023-03-31|2018-07-10 19:29:20|2018-07-03 14:24:40|9999-12-31 00:00:00|A
0000000139|0000000139|0000000139|ND|North|683384107|73681538|47656|67597|ACH|2018-04-30|2018-07-01 20:16:36|2018-07-01 17:49:15|9999-12-31 00:00:00|A
0000000140|0000000140|0000000140|MN|North|477559804|256439311|7484|85618|ACH|2022-04-30|2018-07-14 13:02:16|2018-07-14 01:02:16|9999-12-31 00:00:00|A
0000000141|0000000141|0000000141|GA|Chatham|989147522|951645024|32125|74493|Check|2018-09-30|2018-07-03 10:51:15|2018-07-03 10:17:31|9999-12-31 00:00:00|A
0000000142|0000000142|0000000142|FL|Palm Beach|13949900|765144|5263|59555|ACH|2022-06-30|2018-07-26 17:25:48|2018-07-10 12:56:20|9999-12-31 00:00:00|A
0000000143|0000000143|0000000143|ID|South|972191796|867655483|52301|2055|Internal Transfer|2023-12-31|2018-07-28 05:45:09|2018-07-24 22:21:32|9999-12-31 00:00:00|A
0000000144|0000000144|0000000144|AR|West|863841606|526865821|17860|28715|Check|2021-10-31|2018-07-28 08:02:28|2018-07-05 19:09:38|9999-12-31 00:00:00|A
0000000145|0000000145|0000000145|NH|Central|484586427|408942210|54798|15427|ACH|2021-02-28|2018-07-08 09:51:47|2018-07-06 08:49:37|9999-12-31 00:00:00|A
0000000146|0000000146|0000000146|KY|West|578008226|522420768|57951|15253|Wire|2024-08-31|2018-07-29 07:47:01|2018-07-19 17:33:15|9999-12-31 00:00:00|A
0000000147|0000000147|0000000147|MD|West|942706182|108400046|52059|87603|Internal Transfer|2024-07-31|2018-07-11 17:58:17|2018-07-11 15:27:22|9999-12-31 00:00:00|A
0000000148|0000000148|0000000148|DC|West|679824746|318622823|51758|84193|Internal Transfer|2024-03-31|2018-07-15 01:35:19|2018-07-08 08:07:24|9999-12-31 00:00:00|A
0000000149|0000000149|0000000149|MN|North|89255095|23458096|7990|40655|Internal Transfer|2025-12-31|2018-07-29 17:14:14|2018-07-04 23:05:57|9999-12-31 00:00:00|A
0000000150|0000000150|0000000150|MI|Genesee|191125873|165450999|37299|41563|Check|2018-06-30|2018-07-13 03:57:02|2018-07-10 15:17:38|9999-12-31 00:00:00|A
0000000151|0000000151|0000000151|NH|West|495329582|94401566|34782|18644|Wire|2023-05-31|2018-07-25 06:43:18|2018-07-08 21:15:07|9999-12-31 00:00:00|A
0000000152|0000000152|0000000152|SC|East|233047244|135616498|73425|56042|Internal Transfer|2019-11-30|2018-07-31 07:15:38|2018-07-04 04:52:06|9999-12-31 00:00:00|A
0000000153|0000000153|0000000153|AL|West|27632759|18749456|83716|53233|Internal Transfer|2019-03-31|2018-07-20 17:15:39|2018-07-09 12:45:58|9999-12-31 00:00:00|A
0000000154|0000000154|0000000154|WI|North|250742762|18684260|26278|96446|Wire|2025-09-30|2018-07-23 17:08:09|2018-07-22 23:08:10|9999-12-31 00:00:00|A
0000000155|0000000155|0000000155|PA|Bucks|56790807|41590232|35344|81956|Wire|2018-06-30|2018-07-10 05:52:41|2018-07-02 16:32:06|9999-12-31 00:00:00|A
0000000156|0000000156|0000000156|MD|Central|269874692|242953734|47008|89823|Wire|2026-04-30|2018-07-03 16:54:52|2018-07-01 03:59:17|9999-12-31 00:00:00|A
0000000157|0000000157|0000000157|NH|West|607390710|67751915|38441|57205|Check|2021-08-31|2018-07-12 11:48:56|2018-07-03 07:11:24|9999-12-31 00:00:00|A
